heatmap_type,summarization_method,aggregation_type,simulation_name,failures,detected,undetected,undetectable,ttm,accuracy,fpr,precision,recall,f1,f3
smoothgrad,avg-grad,max,mutants/udacity_change_dropout_rate_mutated0_MP_0.75_0.75_6_0,9,9,0,0,3,93,8,69,100,82,96
smoothgrad,avg-grad,max,mutants/udacity_change_dropout_rate_mutated0_MP_0.125_0.125_6_2,13,13,0,3,1,94,8,76,100,87,97
smoothgrad,avg-grad,max,mutants/udacity_change_dropout_rate_mutated0_MP_0.125_0.125_6_2,13,13,0,3,2,94,8,76,100,87,97
smoothgrad,avg-grad,max,mutants/udacity_change_dropout_rate_mutated0_MP_0.125_0.125_6_2,13,13,0,3,3,94,8,76,100,87,97
smoothgrad,avg-grad,max,mutants/udacity_change_dropout_rate_mutated0_MP_1.0_1.0_6_1,4,4,0,0,1,93,8,50,100,67,91
smoothgrad,avg-grad,max,mutants/udacity_change_dropout_rate_mutated0_MP_1.0_1.0_6_1,4,4,0,0,2,93,8,50,100,67,91
smoothgrad,avg-grad,max,mutants/udacity_change_dropout_rate_mutated0_MP_1.0_1.0_6_1,4,4,0,0,3,93,8,50,100,67,91
smoothgrad,avg-grad,max,mutants/udacity_change_label_mutated0_MP_12.5_4,9,9,0,3,1,93,8,69,100,82,96
smoothgrad,avg-grad,max,mutants/udacity_change_label_mutated0_MP_12.5_4,9,9,0,3,2,93,8,69,100,82,96
smoothgrad,avg-grad,max,mutants/udacity_change_label_mutated0_MP_12.5_4,9,9,0,3,3,93,8,69,100,82,96
smoothgrad,avg-grad,max,mutants/udacity_change_label_mutated0_MP_25.0_1,4,4,0,1,1,93,8,50,100,67,91
smoothgrad,avg-grad,max,mutants/udacity_change_label_mutated0_MP_25.0_1,4,4,0,1,2,93,8,50,100,67,91
smoothgrad,avg-grad,max,mutants/udacity_change_label_mutated0_MP_25.0_1,4,4,0,1,3,93,8,50,100,67,91
smoothgrad,avg-grad,max,mutants/udacity_change_loss_function_mutated0_MP_mean_absolute_error_2,10,10,0,2,1,94,8,71,100,83,96
smoothgrad,avg-grad,max,mutants/udacity_change_loss_function_mutated0_MP_mean_absolute_error_2,10,10,0,2,2,94,8,71,100,83,96
smoothgrad,avg-grad,max,mutants/udacity_change_loss_function_mutated0_MP_mean_absolute_error_2,10,10,0,2,3,94,8,71,100,83,96
