heatmap_type,summarization_method,aggregation_type,simulation_name,failures,detected,undetected,undetectable,ttm,accuracy,fpr,precision,recall,f1,f3
track1-MSE-latent2-selforacle,rec. loss,mean,ood/xai-track1-snow-40,2,2,0,0,1,94,7,22,100,36,74
track1-MSE-latent2-selforacle,rec. loss,mean,ood/xai-track1-snow-40,2,2,0,0,2,94,7,22,100,36,74
track1-MSE-latent2-selforacle,rec. loss,mean,ood/xai-track1-snow-40,2,1,1,0,3,93,7,12,50,20,38
track1-MSE-latent2-selforacle,rec. loss,mean,ood/xai-track1-snow-50,3,3,0,0,1,94,7,30,100,46,81
track1-MSE-latent2-selforacle,rec. loss,mean,ood/xai-track1-snow-50,3,3,0,0,2,94,7,30,100,46,81
track1-MSE-latent2-selforacle,rec. loss,mean,ood/xai-track1-snow-50,2,1,1,1,3,93,7,12,50,20,38
track1-MSE-latent2-selforacle,rec. loss,mean,ood/xai-track1-snow-60,2,2,0,0,1,94,7,22,100,36,74
track1-MSE-latent2-selforacle,rec. loss,mean,ood/xai-track1-snow-60,2,2,0,0,2,94,7,22,100,36,74
track1-MSE-latent2-selforacle,rec. loss,mean,ood/xai-track1-snow-60,2,1,1,0,3,93,7,12,50,20,38
track1-MSE-latent2-selforacle,rec. loss,mean,ood/xai-track1-snow-70,2,2,0,0,1,94,7,22,100,36,74
track1-MSE-latent2-selforacle,rec. loss,mean,ood/xai-track1-snow-70,2,2,0,0,2,94,7,22,100,36,74
track1-MSE-latent2-selforacle,rec. loss,mean,ood/xai-track1-snow-70,2,2,0,0,3,94,7,22,100,36,74
track1-MSE-latent2-selforacle,rec. loss,mean,ood/xai-track1-snow-80,2,2,0,1,1,94,7,22,100,36,74
track1-MSE-latent2-selforacle,rec. loss,mean,ood/xai-track1-snow-80,2,1,1,1,2,93,7,12,50,20,38
track1-MSE-latent2-selforacle,rec. loss,mean,ood/xai-track1-snow-80,3,2,1,0,3,93,7,22,67,33,56
track1-MSE-latent2-selforacle,rec. loss,mean,ood/xai-track1-snow-90,2,2,0,0,1,94,7,22,100,36,74
track1-MSE-latent2-selforacle,rec. loss,mean,ood/xai-track1-snow-90,2,2,0,0,2,94,7,22,100,36,74
track1-MSE-latent2-selforacle,rec. loss,mean,ood/xai-track1-snow-90,2,2,0,0,3,94,7,22,100,36,74
track1-MSE-latent2-selforacle,rec. loss,mean,ood/xai-track1-snow-100,2,2,0,0,1,94,7,22,100,36,74
track1-MSE-latent2-selforacle,rec. loss,mean,ood/xai-track1-snow-100,2,2,0,0,2,94,7,22,100,36,74
track1-MSE-latent2-selforacle,rec. loss,mean,ood/xai-track1-snow-100,2,1,1,0,3,93,7,12,50,20,38
track1-MSE-latent2-selforacle,rec. loss,max,ood/xai-track1-fog-10,2,2,0,1,1,94,7,22,100,36,74
track1-MSE-latent2-selforacle,rec. loss,max,ood/xai-track1-fog-10,2,2,0,1,2,94,7,22,100,36,74
track1-MSE-latent2-selforacle,rec. loss,max,ood/xai-track1-fog-10,3,3,0,0,3,94,7,30,100,46,81
track1-MSE-latent2-selforacle,rec. loss,max,ood/xai-track1-fog-20,4,4,0,1,1,94,7,36,100,53,85
track1-MSE-latent2-selforacle,rec. loss,max,ood/xai-track1-fog-20,4,4,0,1,2,94,7,36,100,53,85
track1-MSE-latent2-selforacle,rec. loss,max,ood/xai-track1-fog-20,5,5,0,0,3,94,7,42,100,59,88
track1-MSE-latent2-selforacle,rec. loss,max,ood/xai-track1-fog-30,4,4,0,0,1,94,7,36,100,53,85
track1-MSE-latent2-selforacle,rec. loss,max,ood/xai-track1-fog-30,3,3,0,1,2,94,7,30,100,46,81
track1-MSE-latent2-selforacle,rec. loss,max,ood/xai-track1-fog-30,3,3,0,1,3,94,7,30,100,46,81
track1-MSE-latent2-selforacle,rec. loss,max,ood/xai-track1-fog-40,3,3,0,0,1,94,7,30,100,46,81
track1-MSE-latent2-selforacle,rec. loss,max,ood/xai-track1-fog-40,3,3,0,0,2,94,7,30,100,46,81
track1-MSE-latent2-selforacle,rec. loss,max,ood/xai-track1-fog-40,3,3,0,0,3,94,7,30,100,46,81
track1-MSE-latent2-selforacle,rec. loss,max,ood/xai-track1-fog-50,3,3,0,1,1,94,7,30,100,46,81
track1-MSE-latent2-selforacle,rec. loss,max,ood/xai-track1-fog-50,3,3,0,1,2,94,7,30,100,46,81
track1-MSE-latent2-selforacle,rec. loss,max,ood/xai-track1-fog-50,3,3,0,1,3,94,7,30,100,46,81
track1-MSE-latent2-selforacle,rec. loss,max,ood/xai-track1-fog-60,1,1,0,0,1,93,7,12,100,22,59
track1-MSE-latent2-selforacle,rec. loss,max,ood/xai-track1-fog-60,1,1,0,0,2,93,7,12,100,22,59
track1-MSE-latent2-selforacle,rec. loss,max,ood/xai-track1-fog-60,1,1,0,0,3,93,7,12,100,22,59
track1-MSE-latent2-selforacle,rec. loss,max,ood/xai-track1-fog-70,2,2,0,0,1,94,7,22,100,36,74
track1-MSE-latent2-selforacle,rec. loss,max,ood/xai-track1-fog-70,2,2,0,0,2,94,7,22,100,36,74
track1-MSE-latent2-selforacle,rec. loss,max,ood/xai-track1-fog-70,2,2,0,0,3,94,7,22,100,36,74
track1-MSE-latent2-selforacle,rec. loss,max,ood/xai-track1-fog-80,1,1,0,0,1,93,7,12,100,22,59
track1-MSE-latent2-selforacle,rec. loss,max,ood/xai-track1-fog-80,1,1,0,0,2,93,7,12,100,22,59
track1-MSE-latent2-selforacle,rec. loss,max,ood/xai-track1-fog-80,1,1,0,0,3,93,7,12,100,22,59
track1-MSE-latent2-selforacle,rec. loss,max,ood/xai-track1-fog-90,1,1,0,0,1,93,7,12,100,22,59
track1-MSE-latent2-selforacle,rec. loss,max,ood/xai-track1-fog-90,1,1,0,0,2,93,7,12,100,22,59
track1-MSE-latent2-selforacle,rec. loss,max,ood/xai-track1-fog-90,1,1,0,0,3,93,7,12,100,22,59
track1-MSE-latent2-selforacle,rec. loss,max,ood/xai-track1-fog-100,4,4,0,0,1,94,7,36,100,53,85
track1-MSE-latent2-selforacle,rec. loss,max,ood/xai-track1-fog-100,4,4,0,0,2,94,7,36,100,53,85
track1-MSE-latent2-selforacle,rec. loss,max,ood/xai-track1-fog-100,4,4,0,0,3,94,7,36,100,53,85
track1-MSE-latent2-selforacle,rec. loss,max,ood/xai-track1-rain-10,1,1,0,0,1,93,7,12,100,22,59
track1-MSE-latent2-selforacle,rec. loss,max,ood/xai-track1-rain-10,1,1,0,0,2,93,7,12,100,22,59
track1-MSE-latent2-selforacle,rec. loss,max,ood/xai-track1-rain-10,1,0,1,0,3,0,0,0,0,0,0
track1-MSE-latent2-selforacle,rec. loss,max,ood/xai-track1-rain-20,3,3,0,0,1,94,7,30,100,46,81
track1-MSE-latent2-selforacle,rec. loss,max,ood/xai-track1-rain-20,3,3,0,0,2,94,7,30,100,46,81
track1-MSE-latent2-selforacle,rec. loss,max,ood/xai-track1-rain-20,3,3,0,0,3,94,7,30,100,46,81
track1-MSE-latent2-selforacle,rec. loss,max,ood/xai-track1-rain-30,2,2,0,0,1,94,7,22,100,36,74
track1-MSE-latent2-selforacle,rec. loss,max,ood/xai-track1-rain-30,2,2,0,0,2,94,7,22,100,36,74
track1-MSE-latent2-selforacle,rec. loss,max,ood/xai-track1-rain-30,2,2,0,0,3,94,7,22,100,36,74
track1-MSE-latent2-selforacle,rec. loss,max,ood/xai-track1-rain-40,3,3,0,0,1,94,7,30,100,46,81
track1-MSE-latent2-selforacle,rec. loss,max,ood/xai-track1-rain-40,2,2,0,1,2,94,7,22,100,36,74
track1-MSE-latent2-selforacle,rec. loss,max,ood/xai-track1-rain-40,2,2,0,1,3,94,7,22,100,36,74
track1-MSE-latent2-selforacle,rec. loss,max,ood/xai-track1-rain-50,2,2,0,0,1,94,7,22,100,36,74
track1-MSE-latent2-selforacle,rec. loss,max,ood/xai-track1-rain-50,2,2,0,0,2,94,7,22,100,36,74
track1-MSE-latent2-selforacle,rec. loss,max,ood/xai-track1-rain-50,2,2,0,0,3,94,7,22,100,36,74
track1-MSE-latent2-selforacle,rec. loss,max,ood/xai-track1-rain-60,2,2,0,0,1,94,7,22,100,36,74
track1-MSE-latent2-selforacle,rec. loss,max,ood/xai-track1-rain-60,2,2,0,0,2,94,7,22,100,36,74
track1-MSE-latent2-selforacle,rec. loss,max,ood/xai-track1-rain-60,2,2,0,0,3,94,7,22,100,36,74
track1-MSE-latent2-selforacle,rec. loss,max,ood/xai-track1-rain-70,2,2,0,0,1,94,7,22,100,36,74
track1-MSE-latent2-selforacle,rec. loss,max,ood/xai-track1-rain-70,2,2,0,0,2,94,7,22,100,36,74
track1-MSE-latent2-selforacle,rec. loss,max,ood/xai-track1-rain-70,2,2,0,0,3,94,7,22,100,36,74
track1-MSE-latent2-selforacle,rec. loss,max,ood/xai-track1-rain-80,3,3,0,0,1,94,7,30,100,46,81
track1-MSE-latent2-selforacle,rec. loss,max,ood/xai-track1-rain-80,3,3,0,0,2,94,7,30,100,46,81
track1-MSE-latent2-selforacle,rec. loss,max,ood/xai-track1-rain-80,3,3,0,0,3,94,7,30,100,46,81
track1-MSE-latent2-selforacle,rec. loss,max,ood/xai-track1-rain-90,2,2,0,1,1,94,7,22,100,36,74
track1-MSE-latent2-selforacle,rec. loss,max,ood/xai-track1-rain-90,2,2,0,1,2,94,7,22,100,36,74
track1-MSE-latent2-selforacle,rec. loss,max,ood/xai-track1-rain-90,2,2,0,1,3,94,7,22,100,36,74
track1-MSE-latent2-selforacle,rec. loss,max,ood/xai-track1-rain-100,2,2,0,0,1,94,7,22,100,36,74
track1-MSE-latent2-selforacle,rec. loss,max,ood/xai-track1-rain-100,2,2,0,0,2,94,7,22,100,36,74
track1-MSE-latent2-selforacle,rec. loss,max,ood/xai-track1-rain-100,2,2,0,0,3,94,7,22,100,36,74
track1-MSE-latent2-selforacle,rec. loss,max,ood/xai-track1-snow-10,3,3,0,0,1,94,7,30,100,46,81
track1-MSE-latent2-selforacle,rec. loss,max,ood/xai-track1-snow-10,2,2,0,1,2,94,7,22,100,36,74
track1-MSE-latent2-selforacle,rec. loss,max,ood/xai-track1-snow-10,2,2,0,1,3,94,7,22,100,36,74
track1-MSE-latent2-selforacle,rec. loss,max,ood/xai-track1-snow-20,2,2,0,1,1,94,7,22,100,36,74
track1-MSE-latent2-selforacle,rec. loss,max,ood/xai-track1-snow-20,2,2,0,1,2,94,7,22,100,36,74
track1-MSE-latent2-selforacle,rec. loss,max,ood/xai-track1-snow-20,2,2,0,1,3,94,7,22,100,36,74
track1-MSE-latent2-selforacle,rec. loss,max,ood/xai-track1-snow-30,2,2,0,0,1,94,7,22,100,36,74
track1-MSE-latent2-selforacle,rec. loss,max,ood/xai-track1-snow-30,2,2,0,0,2,94,7,22,100,36,74
track1-MSE-latent2-selforacle,rec. loss,max,ood/xai-track1-snow-30,2,2,0,0,3,94,7,22,100,36,74
